Nama,Regu,Qty,Berat,Tanggal Produksi
BONELESS PAHA KULIT BROILER,boneless,,"23,6",2021-09-17
PAHA BAWAH BROILER,boneless,,14,2021-09-18
PAHA UTUH BROILER,boneless,,"93,1",2021-09-19
BONELESS PAHA BROILER,boneless,,43,2021-09-20
DADA UTUH BROILER,boneless,,"36,7",2021-09-21
PAHA BAWAH BROILER,boneless,,"117,5",2021-09-22
FILLET BROILER,boneless,,"30,4",2021-09-23
SAYAP BROILER,boneless,,16,2021-09-24
BONELESS PAHA BROILER,boneless,,158,2021-09-25
BONELESS DADA BROILER,boneless,,"150,9",2021-09-26
BONELESS PAHA BROILER,boneless,,"148,7",2021-09-27
BONELESS DADA BROILER,boneless,,"146,2",2021-09-28
BONELESS DADA BROILER,boneless,,146,2021-09-29